
--- Starting new training session ---
Training FNO model with config: configs/training/FNO.yaml
All devices: [CudaDevice(id=0)]
Default backend: gpu
Starting training for FNO

--- Training for family: Prada2013_CC ---
Loading dataset from: data/dataset/FNO/Prada2013_CC_11000.npz

--- Training anode model for Prada2013_CC ---
X_train shape: (9900, 24, 85, 4), Y_train shape: (9900, 24, 85, 1)

Training anode:   0%|          | 0/150 [00:00<?, ?it/s]2026-06-03 23:23:46.297170: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.

Epoch 23/150 | Train Loss: 0.0011 | Test Loss: 0.0009:  15%|█▍        | 22/150 [01:32<07:31,  3.53s/it]
Epoch 23/150 | Train Loss: 0.0011 | Test Loss: 0.0009:  15%|█▌        | 23/150 [01:32<07:27,  3.52s/it]
Epoch 24/150 | Train Loss: 0.0009 | Test Loss: 0.0008:  15%|█▌        | 23/150 [01:36<07:27,  3.52s/it]
Epoch 24/150 | Train Loss: 0.0009 | Test Loss: 0.0008:  16%|█▌        | 24/150 [01:36<07:21,  3.51s/it]
Epoch 25/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  16%|█▌        | 24/150 [01:39<07:21,  3.51s/it]
Epoch 25/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  17%|█▋        | 25/150 [01:39<07:19,  3.52s/it]
Epoch 26/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  17%|█▋        | 25/150 [01:43<07:19,  3.52s/it]
Epoch 26/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  17%|█▋        | 26/150 [01:43<07:15,  3.51s/it]
Epoch 27/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  17%|█▋        | 26/150 [01:46<07:15,  3.51s/it]
Epoch 27/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  18%|█▊        | 27/150 [01:46<07:11,  3.51s/it]
Epoch 28/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  18%|█▊        | 27/150 [01:50<07:11,  3.51s/it]
Epoch 28/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  19%|█▊        | 28/150 [01:50<07:07,  3.50s/it]
Epoch 29/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  19%|█▊        | 28/150 [01:53<07:07,  3.50s/it]
Epoch 29/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  19%|█▉        | 29/150 [01:53<07:04,  3.51s/it]
Epoch 30/150 | Train Loss: 0.0008 | Test Loss: 0.0009:  19%|█▉        | 29/150 [01:57<07:04,  3.51s/it]
Epoch 30/150 | Train Loss: 0.0008 | Test Loss: 0.0009:  20%|██        | 30/150 [01:57<07:01,  3.51s/it]
Epoch 31/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  20%|██        | 30/150 [02:00<07:01,  3.51s/it]
Epoch 31/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  21%|██        | 31/150 [02:00<06:58,  3.52s/it]
Epoch 32/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  21%|██        | 31/150 [02:04<06:58,  3.52s/it]
Epoch 32/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  21%|██▏       | 32/150 [02:04<06:56,  3.53s/it]
Epoch 33/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  21%|██▏       | 32/150 [02:08<06:56,  3.53s/it]
Epoch 33/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  22%|██▏       | 33/150 [02:08<07:01,  3.60s/it]
Epoch 34/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  22%|██▏       | 33/150 [02:11<07:01,  3.60s/it]
Epoch 34/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  23%|██▎       | 34/150 [02:11<06:58,  3.61s/it]
Epoch 35/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  23%|██▎       | 34/150 [02:15<06:58,  3.61s/it]
Epoch 35/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  23%|██▎       | 35/150 [02:15<06:55,  3.61s/it]
Epoch 36/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  23%|██▎       | 35/150 [02:18<06:55,  3.61s/it]
Epoch 36/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  24%|██▍       | 36/150 [02:18<06:50,  3.60s/it]
Epoch 37/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  24%|██▍       | 36/150 [02:22<06:50,  3.60s/it]
Epoch 37/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  25%|██▍       | 37/150 [02:22<06:47,  3.60s/it]
Epoch 38/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  25%|██▍       | 37/150 [02:26<06:47,  3.60s/it]
Epoch 38/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  25%|██▌       | 38/150 [02:26<06:42,  3.59s/it]
Epoch 39/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  25%|██▌       | 38/150 [02:29<06:42,  3.59s/it]
